Generating SQLite file ./report_3.sqlite from ./report_3.nsys-rep
Processing [./report_3.sqlite] with [/opt/nvidia/nsight-systems/2024.1.1/host-linux-x64/reports/cuda_gpu_trace.py](start=510000000:end=13880000000) to process [@grep -E (Start*|ncclKernel_SendRecv*)]...
Start (us)  Duration (us)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MB/s)  SrcMemKd  DstMemKd           Device            Ctx  GreenCtx  Strm                                                  Name
 732569.951       1034.622  596823     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (3)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 767594.005        730.978  600945     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (0)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 767926.973        821.182  600539     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (2)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 767944.016        792.926  600543     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (3)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 767986.265        801.442  600648     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (1)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 769350.714       1516.355  601256     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (0)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 769751.500       1161.181  600854     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (3)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 769754.137       1129.789  600850     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (2)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 769805.470       1109.379  600959     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (1)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 773803.909        998.018  601628     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (0)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
